RECLOC,CREATION_DTZ_x,CUSTOMER_ID,LAST_NAME,FIRST_NAME,NATIONALITY,DOB,CONTACT_PH_NUM,CONTACT_EMAIL,DOC_TYPE,DOC_ID,SPECIAL_NAME_CD2,SSR_CODE_CD1,SPECIAL_NAME_CD1,FF_NUM,TierLevel,CREATION_DTZ_y,DEP_KEY,ACTION_CD,COS_CD,SEG_SEQ,SEG_TOTAL,PAX_CNT,CARRIER_CD,FLT_NUM,ORIG_CD,DEST_CD,DEP_DT,DEP_DTML,ARR_DTML,DEP_DTMZ,ARR_DTMZ,DL_Conn,Passenger_Rating
OEEZ78,5/17/2023 5:04,EIV6296,Hughes,Michael,US,1/17/2009,(707) 855-8192,michaelhughes1@example.com,Passport,202274000000.0,,,CHD,,,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,2900
OEEZ78,5/17/2023 5:04,AEY9203,Snyder,Mark,US,7/13/1942,(937) 937-9938,marksnyder2@example.com,Driving License,654760000000.0,,,S65,2716727420.0,Silver,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,4400
OEEZ78,5/17/2023 5:04,UWT0750,Woods,Jamie,US,6/11/1964,(366) 260-1302,jamiewoods3@example.com,Driving License,592689000000.0,,,ADT,7168100926.0,Gold,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,4700
OEEZ78,5/17/2023 5:04,MSU6210,Zuniga,Jesse,CA,6/11/1964,(987) 467-2624,jessezuniga4@example.com,Driving License,592025000000.0,,,ADT,,,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,3100
OEEZ78,5/17/2023 5:04,UZB4925,Vyas,Vidur,IN,7/24/1937,(109) 817-9093,vidurvyas5@example.com,Driving License,138678000000.0,,,S65,5202359964.0,Silver,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,4400
OEEZ78,5/17/2023 5:04,LNF8521,Luthra,Veer,IN,12/7/1959,(966) 457-8446,veerluthra6@example.com,Passport,666530857.0,,,S65,,,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,2900
OEEZ78,5/17/2023 5:04,QEY5980,Haley,Tonya,US,5/20/1998,(867) 742-4576,tonyahaley7@example.com,Driving License,330369000000.0,,,ADT,9517815371.0,Gold,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,4700
OEEZ78,5/17/2023 5:04,GCN4106,Tanner,Lindsey,US,11/25/1985,(432) 163-5631,lindseytanner8@example.com,Govt-Id,8634605425.0,,,ADT,6561898959.0,Gold,5/17/2023 5:04,ZZ20240515AMDHYD2223,HL,PremiumEconomyClass,4,4,8,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,4700
WBRL78,5/19/2023 18:00,ULD5620,Deshpande,Advik,IN,2/29/1944,(413) 301-7385,advikdeshpande1@example.com,Driving License,714990000000.0,,,S65,,,5/19/2023 18:00,ZZ20240515AMDHYD2223,HL,BusinessClass,3,3,1,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,0,1700
JDMQ53,3/17/2024 15:22,ZJV0198,Clark,Crystal,CA,8/20/1985,(972) 595-7307,crystalclark1@example.com,Govt-Id,8180919299.0,NRPS,DEAF,ADT,,,3/17/2024 15:22,ZZ20240515AMDHYD2223,HK,FirstClass,1,4,3,ZZ,2223,AMD,HYD,5/15/2024,5/15/2024 10:52,5/15/2024 19:30,5/15/2024 5:22,5/15/2024 14:00,3,3700
