CUSTOMER_ID,LAST_NAME,FIRST_NAME,CONTACT_PH_NUM,CONTACT_EMAIL,FlightNumber,Seat,InventoryId,Dep_Key,AircraftType,DepartureDateTime,ArrivalDateTime,DepartureAirport,ArrivalAirport,Passenger_Rating,Flight_Rating,Flight_Quality_Grade
MGS2365,Burke,Michelle,(171) 935-8821,michelleburke2@example.com,2223.0,A29,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2800,250,A
WPH4609,Dhar,Lakshay,(916) 570-5986,lakshaydhar2@example.com,2223.0,B2,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4400,250,A
SSP5858,Tara,Dhanuk,(545) 580-3932,dhanuktara1@example.com,2223.0,C38,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,5100,250,A
YZG7105,Sandhu,Zoya,(489) 750-7742,zoyasandhu6@example.com,2223.0,D33,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4600,250,A
ZGQ2129,Wadhwa,Piya,(213) 501-2267,piyawadhwa3@example.com,2223.0,D55,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2800,250,A
ZDT0298,Lowery,Holly,(956) 371-3551,hollylowery7@example.com,2223.0,D50,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4800,250,A
JCI3971,Wilson,Hannah,(423) 680-3877,hannahwilson4@example.com,2223.0,A23,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2600,250,A
ILN7353,Johnston,Tracey,(719) 529-4784,traceyjohnston4@example.com,2223.0,B13,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4900,250,A
NQX2486,Moore,James,(756) 288-6391,jamesmoore1@example.com,2223.0,D61,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2900,250,A
PPS4110,Taneja,Zaina,(165) 765-9550,zainataneja2@example.com,2223.0,A27,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4700,250,A
VIG8837,Macdonald,Michael,(802) 155-1594,michaelmacdonald1@example.com,2223.0,C11,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4600,250,A
CIE7707,Varma,Vardaniya,(507) 905-5082,vardaniyavarma3@example.com,2223.0,C37,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,3200,250,A
MSU6210,Zuniga,Jesse,(987) 467-2624,jessezuniga4@example.com,2223.0,C26,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,3100,250,A
DRD3155,Poole,Eric,(238) 322-3692,ericpoole2@example.com,2223.0,C24,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2800,250,A
VZQ3455,Vasquez,Katherine,(374) 568-2795,katherinevasquez7@example.com,2223.0,C30,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4900,250,A
DHQ5485,Vig,Lakshay,(400) 522-1309,lakshayvig2@example.com,2223.0,D49,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2700,250,A
ONG4418,Rege,Renee,(634) 744-8697,reneerege3@example.com,2223.0,D59,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2900,250,A
OCH7762,Solanki,Pihu,(189) 294-3265,pihusolanki5@example.com,2223.0,C33,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,5000,250,A
ULD5620,Deshpande,Advik,(413) 301-7385,advikdeshpande1@example.com,2223.0,A1,INV-ZZ-2774494,ZZ20240505AMDHYD2223.0,Boeing 777,2024-05-05 10:52:00,2024-05-05 19:30:00,AMD,HYD,1700,250,A
BEN9293,Jain,Aradhya,(480) 984-8978,aradhyajain3@example.com,2223.0,C5,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4500,250,A
GWP4929,Hayer,Yasmin,(356) 530-7944,yasminhayer6@example.com,2223.0,D57,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2800,250,A
GAQ6630,Kuruvilla,Hazel,(598) 375-4515,hazelkuruvilla7@example.com,2223.0,C18,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4700,250,A
VFV5409,Goda,Mannat,(591) 928-7979,mannatgoda2@example.com,2223.0,D9,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4200,250,A
AJB6107,Moore,Jason,(356) 622-6585,jasonmoore4@example.com,2223.0,D51,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4800,250,A
GRS5211,Campbell,Ashley,(621) 662-3210,ashleycampbell1@example.com,2223.0,A7,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4100,250,A
SMI3857,Bartlett,Calvin,(963) 256-3946,calvinbartlett4@example.com,2223.0,D73,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,3200,250,A
CWK9565,Blair,Nicholas,(527) 703-4781,nicholasblair5@example.com,2223.0,C29,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,3000,250,A
MOX0194,Divan,Mamooty,(876) 988-5099,mamootydivan2@example.com,2223.0,D40,INV-ZZ-2946425,ZZ20240513AMDHYD2223.0,Boeing 777,2024-05-13 10:52:00,2024-05-13 19:30:00,AMD,HYD,2500,250,A
PXA4107,Kalla,Khushi,(419) 540-6193,khushikalla8@example.com,2223.0,C26,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4900,250,A
IZG5991,Hall,Paul,(394) 193-5006,paulhall5@example.com,2223.0,D48,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,4700,250,A
